Opt. Const. of Cauchy vs. nm
nm	n	k
962.788879	1.488046	0.007305	
964.360657	1.488032	0.007303	
965.932251	1.488019	0.007300	
967.503784	1.488005	0.007298	
969.075317	1.487992	0.007296	
970.646606	1.487978	0.007294	
972.217896	1.487965	0.007292	
973.788940	1.487952	0.007289	
975.359985	1.487939	0.007287	
976.930847	1.487926	0.007285	
978.501648	1.487913	0.007283	
980.072388	1.487900	0.007281	
981.642944	1.487887	0.007279	
983.213501	1.487874	0.007276	
984.783813	1.487862	0.007274	
986.354126	1.487849	0.007272	
987.924194	1.487836	0.007270	
989.494324	1.487824	0.007268	
991.064270	1.487811	0.007266	
992.634094	1.487799	0.007264	
994.203796	1.487786	0.007262	
995.773315	1.487774	0.007260	
997.342896	1.487762	0.007257	
998.912292	1.487750	0.007255	
1012.271790	1.487648	0.007238	
1015.750671	1.487623	0.007234	
1019.227905	1.487597	0.007229	
1022.703796	1.487572	0.007225	
1026.178101	1.487548	0.007221	
1029.650879	1.487523	0.007216	
1033.122314	1.487499	0.007212	
1036.592285	1.487475	0.007208	
1040.060791	1.487451	0.007204	
1043.527832	1.487427	0.007199	
1046.993530	1.487404	0.007195	
1050.457886	1.487381	0.007191	
1053.920776	1.487358	0.007187	
1057.382446	1.487336	0.007183	
1060.842651	1.487313	0.007179	
1064.301514	1.487291	0.007175	
1067.759155	1.487269	0.007171	
1071.215576	1.487248	0.007167	
1074.670532	1.487226	0.007163	
1078.124268	1.487205	0.007160	
1081.576904	1.487184	0.007156	
1085.028076	1.487163	0.007152	
1088.478149	1.487143	0.007148	
1091.927002	1.487122	0.007144	
1095.374634	1.487102	0.007141	
1098.821045	1.487082	0.007137	
1102.266357	1.487063	0.007133	
1105.710571	1.487043	0.007130	
1109.153564	1.487024	0.007126	
1112.595459	1.487005	0.007122	
1116.036133	1.486986	0.007119	
1119.475830	1.486967	0.007115	
1122.914429	1.486948	0.007112	
1126.352051	1.486930	0.007108	
1129.788452	1.486912	0.007105	
1133.223877	1.486894	0.007101	
1136.658447	1.486876	0.007098	
1140.091919	1.486858	0.007095	
1143.524292	1.486840	0.007091	
1146.955811	1.486823	0.007088	
1150.386230	1.486806	0.007084	
1153.815796	1.486789	0.007081	
1157.244385	1.486772	0.007078	
1160.672119	1.486755	0.007075	
1164.098999	1.486738	0.007071	
1167.524902	1.486722	0.007068	
1170.949951	1.486706	0.007065	
1174.374146	1.486690	0.007062	
1177.797485	1.486674	0.007059	
1181.219971	1.486658	0.007055	
1184.641724	1.486642	0.007052	
1188.062622	1.486627	0.007049	
1191.482666	1.486611	0.007046	
1194.902100	1.486596	0.007043	
1198.320557	1.486581	0.007040	
1201.738525	1.486566	0.007037	
1205.155518	1.486551	0.007034	
1208.572021	1.486536	0.007031	
1211.987671	1.486522	0.007028	
1215.402710	1.486507	0.007025	
1218.817139	1.486493	0.007022	
1222.230713	1.486479	0.007019	
1225.643799	1.486465	0.007016	
1229.056396	1.486451	0.007013	
1232.468140	1.486437	0.007011	
1235.879395	1.486423	0.007008	
1239.290039	1.486409	0.007005	
1242.700073	1.486396	0.007002	
1246.109619	1.486383	0.006999	
1249.518677	1.486369	0.006997	
1252.927002	1.486356	0.006994	
1256.335083	1.486343	0.006991	
1259.742432	1.486330	0.006988	
1263.149536	1.486317	0.006986	
1266.556030	1.486305	0.006983	
1269.962158	1.486292	0.006980	
1273.367798	1.486279	0.006978	
1276.772949	1.486267	0.006975	
1280.177856	1.486255	0.006972	
1283.582275	1.486243	0.006970	
1286.986206	1.486231	0.006967	
1290.389893	1.486219	0.006965	
1293.793213	1.486207	0.006962	
1297.196289	1.486195	0.006959	
1300.598999	1.486183	0.006957	
1304.001343	1.486172	0.006954	
1307.403564	1.486160	0.006952	
1310.805298	1.486149	0.006949	
1314.206787	1.486137	0.006947	
1317.608154	1.486126	0.006944	
1321.009277	1.486115	0.006942	
1324.410156	1.486104	0.006940	
1327.810791	1.486093	0.006937	
1331.211304	1.486082	0.006935	
1334.611572	1.486071	0.006932	
1338.011719	1.486061	0.006930	
1341.411865	1.486050	0.006928	
1344.811646	1.486039	0.006925	
1348.211426	1.486029	0.006923	
1351.611084	1.486018	0.006921	
1355.010742	1.486008	0.006918	
1358.410278	1.485998	0.006916	
1361.809692	1.485988	0.006914	
1365.209106	1.485978	0.006911	
1368.608521	1.485968	0.006909	
1372.007935	1.485958	0.006907	
1375.407349	1.485948	0.006904	
1378.806763	1.485938	0.006902	
1382.206177	1.485928	0.006900	
1385.605713	1.485919	0.006898	
1389.005127	1.485909	0.006896	
1392.404785	1.485900	0.006893	
1395.804443	1.485890	0.006891	
1399.204346	1.485881	0.006889	
1402.604248	1.485872	0.006887	
1406.004395	1.485862	0.006885	
1409.404541	1.485853	0.006883	
1412.804932	1.485844	0.006880	
1416.205566	1.485835	0.006878	
1419.606323	1.485826	0.006876	
1423.007324	1.485817	0.006874	
1426.408447	1.485809	0.006872	
1429.809937	1.485800	0.006870	
1433.211670	1.485791	0.006868	
1436.613525	1.485783	0.006866	
1440.015869	1.485774	0.006864	
1443.418335	1.485765	0.006862	
1446.821167	1.485757	0.006860	
1450.224365	1.485749	0.006858	
1453.627930	1.485740	0.006856	
1457.031738	1.485732	0.006854	
1460.436035	1.485724	0.006852	
1463.840576	1.485716	0.006850	
1467.245605	1.485708	0.006848	
1470.651123	1.485700	0.006846	
1474.056885	1.485692	0.006844	
1477.463135	1.485684	0.006842	
1480.869873	1.485676	0.006840	
1484.277100	1.485668	0.006838	
1487.684814	1.485660	0.006836	
1491.093018	1.485652	0.006834	
1494.501831	1.485645	0.006833	
1497.911133	1.485637	0.006831	
1501.320923	1.485630	0.006829	
1504.731201	1.485622	0.006827	
1508.142212	1.485615	0.006825	
1511.553711	1.485607	0.006823	
1514.965820	1.485600	0.006821	
1518.378662	1.485593	0.006820	
1521.791992	1.485585	0.006818	
1525.205933	1.485578	0.006816	
1528.620605	1.485571	0.006814	
1532.036011	1.485564	0.006812	
1535.452026	1.485557	0.006810	
1538.868896	1.485550	0.006809	
1542.286377	1.485543	0.006807	
1545.704468	1.485536	0.006805	
1549.123413	1.485529	0.006803	
1552.543213	1.485522	0.006802	
