Opt. Const. of Quartz E vs. nm
nm	n	k
893.531555	1.545577	0.000000	
895.107727	1.545551	0.000000	
896.683716	1.545524	0.000000	
898.259644	1.545497	0.000000	
899.835449	1.545471	0.000000	
901.411255	1.545444	0.000000	
902.986816	1.545417	0.000000	
904.562378	1.545391	0.000000	
906.137817	1.545364	0.000000	
907.713196	1.545337	0.000000	
909.288452	1.545311	0.000000	
910.863647	1.545284	0.000000	
912.438660	1.545257	0.000000	
914.013672	1.545231	0.000000	
915.588562	1.545204	0.000000	
917.163391	1.545177	0.000000	
918.737976	1.545151	0.000000	
920.312622	1.545124	0.000000	
921.887085	1.545097	0.000000	
923.461548	1.545071	0.000000	
925.035828	1.545044	0.000000	
926.609985	1.545017	0.000000	
928.184082	1.544991	0.000000	
929.758118	1.544964	0.000000	
931.332031	1.544937	0.000000	
932.905762	1.544911	0.000000	
934.479492	1.544884	0.000000	
936.053101	1.544858	0.000000	
937.626648	1.544831	0.000000	
939.200012	1.544804	0.000000	
940.773315	1.544778	0.000000	
942.346497	1.544751	0.000000	
943.919617	1.544724	0.000000	
945.492554	1.544698	0.000000	
947.065552	1.544671	0.000000	
948.638306	1.544644	0.000000	
950.211060	1.544618	0.000000	
951.783569	1.544591	0.000000	
953.356079	1.544564	0.000000	
954.928528	1.544538	0.000000	
956.500793	1.544511	0.000000	
958.072937	1.544485	0.000000	
959.645020	1.544458	0.000000	
961.216980	1.544431	0.000000	
962.788879	1.544405	0.000000	
964.360657	1.544378	0.000000	
965.932251	1.544351	0.000000	
967.503784	1.544325	0.000000	
969.075317	1.544298	0.000000	
970.646606	1.544272	0.000000	
972.217896	1.544245	0.000000	
973.788940	1.544218	0.000000	
975.359985	1.544192	0.000000	
976.930847	1.544165	0.000000	
978.501648	1.544139	0.000000	
980.072388	1.544112	0.000000	
981.642944	1.544085	0.000000	
983.213501	1.544059	0.000000	
984.783813	1.544032	0.000000	
986.354126	1.544006	0.000000	
987.924194	1.543979	0.000000	
989.494324	1.543952	0.000000	
991.064270	1.543926	0.000000	
992.634094	1.543902	0.000000	
994.203796	1.543880	0.000000	
995.773315	1.543858	0.000000	
997.342896	1.543835	0.000000	
998.912292	1.543813	0.000000	
1012.271790	1.543622	0.000000	
1015.750671	1.543572	0.000000	
1019.227905	1.543522	0.000000	
1022.703796	1.543473	0.000000	
1026.178101	1.543423	0.000000	
1029.650879	1.543373	0.000000	
1033.122314	1.543324	0.000000	
1036.592285	1.543274	0.000000	
1040.060791	1.543224	0.000000	
1043.527832	1.543175	0.000000	
1046.993530	1.543125	0.000000	
1050.457886	1.543076	0.000000	
1053.920776	1.543026	0.000000	
1057.382446	1.542977	0.000000	
1060.842651	1.542927	0.000000	
1064.301514	1.542878	0.000000	
1067.759155	1.542828	0.000000	
1071.215576	1.542779	0.000000	
1074.670532	1.542729	0.000000	
1078.124268	1.542680	0.000000	
1081.576904	1.542631	0.000000	
1085.028076	1.542581	0.000000	
1088.478149	1.542532	0.000000	
1091.927002	1.542483	0.000000	
1095.374634	1.542433	0.000000	
1098.821045	1.542384	0.000000	
1102.266357	1.542335	0.000000	
1105.710571	1.542285	0.000000	
1109.153564	1.542236	0.000000	
1112.595459	1.542187	0.000000	
1116.036133	1.542138	0.000000	
